,2011/12 survey,,2012/13 survey,,2013/14 survey,,2014/15 survey,
Land transport and transport via pipelines,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Water transport,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Air transport,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Warehousing and support activities for transport,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Postal and courier activities,0,0.00%,0,0.00%,1,1.60%,2,3.00%
Transport and storage,6,11.10%,5,7.20%,3,4.80%,8,11.90%
Accommodation,1,1.90%,2,2.90%,0,0.00%,2,3.00%
Food and beverage service activities,5,9.30%,3,4.30%,3,4.80%,6,9.00%
Information and communication,2,3.70%,4,5.80%,2,3.20%,3,4.50%
Publishing activities,2,3.70%,0,0.00%,1,1.60%,2,3.00%
"Motion picture, video and television programme production, sound recording and music publishing",0,0.00%,0,0.00%,0,0.00%,0,0.00%
Programming and broadcasting activities,0,0.00%,1,1.40%,0,0.00%,0,0.00%
Telecommunications,0,0.00%,1,1.40%,0,0.00%,1,1.50%
"Computer programming, consultancy and related activities",0,0.00%,2,2.90%,1,1.60%,0,0.00%
Information service activities,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Financial and insurance activities,2,3.70%,3,4.30%,2,3.20%,4,6.00%
Financial service activities,1,1.90%,1,1.40%,2,3.20%,3,4.50%
"Insurance, reinsurance and pension funding",0,0.00%,1,1.40%,0,0.00%,1,1.50%
Activities auxilliary to financial services and insurance,1,1.90%,1,1.40%,0,0.00%,0,0.00%
Real estate activities,1,1.90%,1,1.40%,0,0.00%,0,0.00%
Buying and selling of own real estate,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Renting and operating of own or leased real estate,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Real estate activities on a fee or contract basis,1,1.90%,1,1.40%,0,0.00%,0,0.00%
Active across more than one part of sector,0,0.00%,0,0.00%,0,0.00%,0,0.00%
"Professional, scientific and technical activities",9,16.70%,8,11.60%,11,17.70%,5,7.50%
Legal and accounting activities,2,3.70%,0,0.00%,4,6.50%,1,1.50%
Activities of head offices; management consultancy activities,1,1.90%,1,1.40%,0,0.00%,0,0.00%
Architectural and engineering activities; technical testing and analysis,4,7.40%,1,1.40%,2,3.20%,1,1.50%
Scientific research and development,1,1.90%,3,4.30%,1,1.60%,0,0.00%
Advertising and market research,0,0.00%,0,0.00%,1,1.60%,1,1.50%
"Other professional, scientific and technical activities",1,1.90%,2,2.90%,3,4.80%,2,3.00%
Veterinary activities,0,0.00%,1,1.40%,0,0.00%,0,0.00%
Administrative and support service activities,5,9.30%,2,2.90%,1,1.60%,2,3.00%
Rental and leasing activities,1,1.90%,0,0.00%,0,0.00%,0,0.00%
Employment activities,2,3.70%,1,1.40%,0,0.00%,2,3.00%
"Travel agency, tour operator and other reservation services",0,0.00%,1,1.40%,0,0.00%,0,0.00%
Security and investigation activities,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Services to buildings and landscape activities,2,3.70%,0,0.00%,0,0.00%,0,0.00%
"Office administrative, office support and other business support",0,0.00%,0,0.00%,1,1.60%,0,0.00%
Public Administration and defence; compulsory social security,1,1.90%,3,4.30%,1,1.60%,1,1.50%
Administration of the State and the economic and social policy of the community,0,0.00%,2,2.90%,0,0.00%,1,1.50%
Provision of services to the community as a whole,1,1.90%,1,1.40%,1,1.60%,0,0.00%
Compulsary social security activities,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Active across more than one part of sector,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Education,10,18.50%,16,23.20%,13,21.00%,13,19.40%
Pre-primary education,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Primary education,2,3.70%,2,2.90%,1,1.60%,0,0.00%
Secondary education,3,5.60%,5,7.20%,3,4.80%,3,4.50%
Further education,4,7.40%,4,5.80%,6,9.70%,10,14.90%
Higher education,4,7.40%,5,7.20%,6,9.70%,10,14.90%
Other education,1,1.90%,4,5.80%,3,4.80%,0,0.00%
Educational support activities,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Active across more than one part of sector,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Human health and social work activities,3,5.60%,3,4.30%,10,16.10%,8,11.90%
Human health activities,2,3.70%,1,1.40%,5,8.10%,4,6.00%
Residential care activities,0,0.00%,1,1.40%,1,1.60%,0,0.00%
Social work activities without accommodation,1,1.90%,1,1.40%,4,6.50%,4,6.00%
"Arts, entertainment and recreation",4,7.40%,3,4.30%,10,16.10%,6,9.00%
"Creative, arts and entertainment activities",0,0.00%,0,0.00%,0,0.00%,2,3.00%
"Libraries, archives, museums and other cultural activities",3,5.60%,3,4.30%,8,12.90%,3,4.50%
Gambling and betting activities,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Sports activities and amusement and recreation activities,1,1.90%,0,0.00%,2,3.20%,1,1.50%
Other service activities,3,5.60%,5,7.20%,2,3.20%,1,1.50%
Activities of membership organisations,3,5.60%,4,5.80%,2,3.20%,1,1.50%
Repair of computers and personal and household goods,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Other personal service activities,0,0.00%,1,1.40%,0,0.00%,0,0.00%
Activities of households as employers,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Activities of extraterritorial organisations,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,54,,69,,62,,67,
